Iteration,Evaluation Loss,Evaluation Accuracy
0,2.3198,9.59
1,2.3101,9.44
2,2.3019,9.23
3,2.2946,9.81
4,2.2875,10.91
5,2.2815,14.5
6,2.2771,17.65
7,2.2749,19.88
8,2.2724,21.22
9,2.2703,22.03
10,2.2692,22.64
11,2.2677,23.6
12,2.2666,24.33
13,2.266,24.03
14,2.265,23.95
15,2.2635,24.49
16,2.2612,24.56
17,2.2587,24.98
18,2.2567,25.51
19,2.2542,26.83
20,2.2524,28.31
21,2.2503,30.0
22,2.2482,31.86
23,2.2461,32.96
24,2.2448,34.01
25,2.2436,34.39
26,2.2425,35.07
27,2.2416,35.77
28,2.241,36.22
29,2.2412,36.29
30,2.2419,35.97
31,2.2429,36.35
32,2.2436,37.02
33,2.2442,37.65
34,2.2446,37.95
35,2.2449,38.37
36,2.2452,38.35
37,2.2457,38.08
38,2.2459,38.27
39,2.2462,38.55
40,2.2467,39.25
41,2.2473,39.22
42,2.2479,38.88
43,2.249,37.37
44,2.2496,36.61
45,2.2502,35.74
46,2.2508,35.17
47,2.2513,35.6
48,2.2517,35.7
49,2.252,35.82
50,2.2524,35.8
51,2.2529,35.5
52,2.2536,34.87
53,2.2543,34.5
54,2.2551,34.1
55,2.2561,34.21
56,2.2565,34.37
57,2.2564,34.23
58,2.2563,33.97
59,2.2568,33.3
60,2.2572,32.85
61,2.2574,32.35
62,2.2575,32.16
63,2.2576,32.26
64,2.2574,32.32
65,2.2571,32.4
66,2.2569,32.62
67,2.2565,33.13
68,2.2563,33.6
69,2.2565,33.62
70,2.2566,33.62
71,2.2568,33.57
72,2.257,33.42
73,2.257,33.18
74,2.2571,33.06
75,2.2568,33.31
76,2.2566,33.93
77,2.2566,34.58
78,2.2564,35.32
79,2.2561,36.02
80,2.256,36.3
81,2.256,35.87
82,2.256,35.33
83,2.2561,35.09
84,2.2562,34.92
85,2.2564,34.69
86,2.2563,34.8
87,2.2563,35.01
88,2.2561,35.39
89,2.2562,35.87
90,2.2564,36.46
91,2.2562,37.18
92,2.2559,38.05
93,2.2554,38.7
94,2.2549,39.05
95,2.2543,39.28
96,2.2537,39.47
97,2.253,40.16
98,2.2522,40.68
99,2.2516,41.09
100,2.2512,41.06
101,2.2508,40.96
102,2.25,40.9
103,2.249,40.88
104,2.2481,40.82
105,2.247,40.97
106,2.2454,41.38
107,2.2438,41.95
108,2.2418,42.52
109,2.2398,42.79
110,2.2382,42.76
111,2.2367,43.06
112,2.2352,43.41
113,2.2336,43.74
114,2.2318,44.11
115,2.2298,44.47
116,2.2278,44.73
117,2.2256,45.05
118,2.2236,45.43
119,2.2219,45.7
120,2.22,46.01
121,2.2175,46.26
122,2.2142,46.84
123,2.2108,47.49
124,2.207,48.22
125,2.2035,48.71
126,2.1996,49.35
127,2.196,49.58
128,2.1923,49.95
129,2.1883,50.44
130,2.1849,50.64
131,2.1817,50.7
132,2.1775,50.71
133,2.1727,51.04
134,2.1678,51.47
135,2.1631,51.88
136,2.1589,51.91
137,2.155,52.06
138,2.1511,52.53
139,2.1468,52.8
140,2.1405,53.09
141,2.1328,53.75
142,2.126,54.23
143,2.1188,54.6
144,2.1116,54.65
145,2.1042,54.59
146,2.0962,54.83
147,2.0877,55.61
148,2.0789,56.72
149,2.0704,57.79
150,2.0611,58.61
151,2.0491,58.94
152,2.0381,59.39
153,2.0263,59.6
154,2.015,59.65
155,2.0026,59.93
156,1.9917,59.89
157,1.9809,59.78
158,1.971,59.72
159,1.9601,60.22
160,1.9471,61.06
161,1.9345,61.56
162,1.9231,62.1
163,1.9113,62.27
164,1.8989,62.51
165,1.8844,62.78
166,1.8695,62.94
167,1.8541,63.07
168,1.8395,62.99
169,1.8248,63.02
170,1.8096,63.33
171,1.7928,63.44
172,1.776,63.81
173,1.7606,63.91
174,1.7447,64.37
175,1.7289,64.77
176,1.7147,64.88
177,1.7015,65.12
178,1.6871,64.98
179,1.6673,64.88
180,1.6494,65.13
181,1.6293,65.87
182,1.6111,66.13
183,1.5928,66.33
184,1.5759,66.56
185,1.5611,67.01
186,1.5456,67.44
187,1.527,67.71
188,1.5098,67.94
189,1.4915,68.27
190,1.4725,68.73
191,1.4528,69.11
192,1.4358,69.66
193,1.4171,70.11
194,1.3971,70.68
195,1.3805,71.08
196,1.364,71.01
197,1.3458,70.86
198,1.3249,71.13
199,1.3059,71.32
200,1.2923,71.78
201,1.2788,72.29
202,1.2662,72.76
203,1.2536,73.15
204,1.2414,73.45
205,1.2284,73.82
206,1.2181,73.67
207,1.2084,73.47
208,1.1937,73.93
209,1.1745,74.25
210,1.1571,74.56
211,1.1414,74.97
212,1.1301,75.13
213,1.1183,75.27
214,1.1056,75.35
215,1.0951,75.61
216,1.0832,75.9
217,1.0706,76.03
218,1.0586,76.25
219,1.0459,76.6
220,1.0345,76.78
221,1.0252,76.72
222,1.0169,76.67
223,1.0096,76.94
224,1.0,77.39
225,0.9897,77.63
226,0.9804,78.0
227,0.9694,78.19
228,0.9588,78.28
229,0.9479,78.43
230,0.9375,78.51
231,0.9269,78.53
232,0.9175,78.7
233,0.9075,78.88
234,0.8996,79.06
235,0.8901,79.25
236,0.8816,79.49
237,0.8731,79.54
238,0.8646,79.62
239,0.8541,79.71
240,0.8439,79.94
241,0.8348,80.14
242,0.8262,80.46
243,0.8186,80.63
244,0.8115,80.72
245,0.8046,80.67
246,0.7958,80.69
247,0.7851,80.87
248,0.7763,81.14
249,0.7688,81.18
250,0.7629,81.31
251,0.7563,81.43
252,0.7503,81.68
253,0.7452,81.72
254,0.7399,81.85
255,0.7348,82.16
256,0.7295,82.47
257,0.7237,82.68
258,0.7172,83.1
259,0.7122,83.29
260,0.7091,83.31
261,0.7032,83.52
262,0.6965,83.48
263,0.691,83.51
264,0.6866,83.51
265,0.6802,83.74
266,0.6743,83.95
267,0.6687,84.03
268,0.6643,84.05
269,0.6589,84.17
270,0.6541,84.31
271,0.6527,84.36
272,0.6498,84.4
273,0.6464,84.44
274,0.6417,84.48
275,0.6347,84.49
276,0.6281,84.71
277,0.6214,84.9
278,0.616,85.05
279,0.6104,85.37
280,0.6052,85.51
281,0.6021,85.55
282,0.6004,85.55
283,0.598,85.53
284,0.594,85.61
285,0.5902,85.73
286,0.5858,85.9
287,0.5808,86.12
288,0.5772,86.22
289,0.5753,86.29
290,0.5728,86.33
291,0.5683,86.41
292,0.5633,86.47
293,0.558,86.64
294,0.5536,86.56
295,0.5483,86.56
296,0.5436,86.62
297,0.5395,86.62
298,0.5364,86.62
299,0.533,86.58
300,0.5316,86.6
301,0.5287,86.79
302,0.526,86.81
303,0.522,87.01
304,0.5187,87.08
305,0.5167,87.16
306,0.5139,87.13
307,0.5112,87.22
308,0.5097,87.31
309,0.5075,87.26
310,0.5046,87.31
311,0.5008,87.42
312,0.4963,87.53
313,0.493,87.53
314,0.4894,87.61
315,0.4867,87.6
316,0.484,87.7
317,0.4839,87.81
318,0.4829,87.74
319,0.481,87.74
320,0.4777,87.74
321,0.4742,87.74
322,0.4711,87.83
323,0.4683,87.92
324,0.466,87.98
325,0.4633,88.11
326,0.4604,88.2
327,0.4575,88.21
328,0.4557,88.18
329,0.4544,88.25
330,0.4525,88.36
331,0.4511,88.48
332,0.4489,88.48
333,0.4462,88.55
334,0.443,88.6
335,0.4412,88.66
336,0.44,88.72
337,0.4385,88.69
338,0.4372,88.69
339,0.4351,88.8
340,0.4323,88.79
341,0.4295,88.81
342,0.4274,88.89
343,0.4241,88.93
344,0.4211,89.01
345,0.4188,89.24
346,0.4171,89.28
347,0.4155,89.21
348,0.4142,89.23
349,0.4133,89.14
350,0.4125,89.22
351,0.4112,89.23
352,0.4103,89.24
353,0.4089,89.27
354,0.4064,89.22
355,0.4035,89.28
356,0.401,89.26
357,0.3998,89.38
358,0.3982,89.44
359,0.3964,89.4
360,0.3949,89.4
361,0.394,89.4
362,0.3935,89.44
363,0.3933,89.44
364,0.392,89.52
365,0.39,89.48
366,0.3884,89.56
367,0.3867,89.69
368,0.3849,89.81
369,0.3835,89.81
370,0.3827,89.8
371,0.3819,89.8
372,0.38,89.87
373,0.3779,89.89
374,0.3762,89.93
375,0.3741,90.0
376,0.3717,89.94
377,0.3689,89.95
378,0.3669,90.11
379,0.3657,90.17
380,0.3643,90.19
381,0.363,90.24
382,0.3613,90.21
383,0.3595,90.23
384,0.3578,90.24
385,0.3561,90.22
386,0.3546,90.23
387,0.3534,90.26
388,0.3525,90.28
389,0.3512,90.31
390,0.35,90.36
391,0.3487,90.38
392,0.3473,90.47
393,0.3464,90.48
394,0.3459,90.54
395,0.3446,90.58
396,0.3436,90.62
397,0.3422,90.65
398,0.341,90.71
399,0.3395,90.77
400,0.3377,90.83
401,0.3368,90.84
402,0.3361,90.88
403,0.3355,90.91
404,0.3347,90.92
405,0.334,90.98
406,0.3333,91.0
407,0.3326,90.99
408,0.332,90.97
409,0.3316,90.98
410,0.3309,90.99
411,0.3304,90.99
412,0.33,90.94
413,0.3297,90.93
414,0.3292,90.97
415,0.3287,90.99
416,0.3282,90.98
417,0.3276,90.98
418,0.3271,91.01
419,0.3265,91.04
420,0.3258,91.07
421,0.3251,91.09
422,0.3247,91.15
423,0.3243,91.13
424,0.3239,91.15
425,0.3235,91.16
426,0.323,91.18
427,0.3225,91.14
428,0.3218,91.17
429,0.3213,91.19
430,0.3207,91.2
431,0.32,91.25
432,0.3194,91.29
433,0.3188,91.3
434,0.3181,91.32
435,0.3175,91.32
436,0.3168,91.32
437,0.3161,91.35
438,0.3155,91.35
439,0.315,91.34
440,0.3143,91.34
441,0.3136,91.34
442,0.313,91.36
443,0.3125,91.37
444,0.312,91.38
445,0.3116,91.4
446,0.3112,91.43
447,0.3106,91.49
448,0.3099,91.5
449,0.3095,91.48
450,0.309,91.5
451,0.3085,91.53
452,0.3079,91.54
453,0.3071,91.56
454,0.3064,91.58
455,0.306,91.61
456,0.3056,91.62
457,0.3054,91.62
458,0.3052,91.61
459,0.3048,91.63
460,0.3045,91.59
461,0.3042,91.61
462,0.3037,91.58
463,0.3033,91.61
464,0.3029,91.62
465,0.3024,91.65
466,0.3019,91.69
467,0.3013,91.73
468,0.301,91.75
469,0.3006,91.72
470,0.3001,91.71
471,0.2996,91.72
472,0.2993,91.74
473,0.2989,91.76
474,0.2984,91.75
475,0.2979,91.76
476,0.2975,91.77
477,0.297,91.79
478,0.2969,91.75
479,0.2968,91.79
480,0.2967,91.86
481,0.2965,91.85
482,0.2962,91.85
483,0.2958,91.86
484,0.2954,91.86
485,0.2948,91.87
486,0.2944,91.87
487,0.294,91.86
488,0.2934,91.91
489,0.2928,91.97
490,0.2923,92.0
491,0.2921,91.97
492,0.2919,91.98
493,0.2917,91.99
494,0.2914,91.99
495,0.291,91.99
496,0.2907,92.04
497,0.2904,92.05
498,0.2901,92.07
499,0.2898,92.08
500,0.2896,92.07
501,0.2894,92.1
502,0.2891,92.1
503,0.2887,92.12
504,0.2884,92.11
505,0.2879,92.09
506,0.2874,92.13
507,0.2871,92.16
508,0.2868,92.16
509,0.2865,92.21
510,0.2862,92.21
511,0.2858,92.21
512,0.2856,92.18
513,0.2852,92.18
514,0.2846,92.21
515,0.284,92.21
516,0.2834,92.22
517,0.2826,92.27
